iter	Passed	Remaining
407	5684	8247
408	5695	8230
409	5708	8215
410	5721	8198
411	5734	8184
412	5747	8168
413	5760	8153
414	5773	8138
415	5785	8122
416	5798	8107
417	5811	8091
418	5824	8076
419	5837	8061
420	5850	8046
421	5863	8030
422	5876	8016
423	5891	8003
424	5903	7987
425	5916	7971
426	5929	7956
427	5942	7941
428	5954	7925
429	5967	7909
430	5980	7895
431	5994	7881
432	6007	7866
433	6020	7851
434	6033	7836
435	6045	7820
436	6060	7808
437	6072	7791
438	6085	7777
439	6099	7763
440	6111	7747
441	6125	7732
442	6138	7717
443	6151	7703
444	6164	7687
445	6176	7672
446	6190	7658
447	6202	7642
448	6216	7628
449	6229	7614
450	6242	7598
451	6254	7583
452	6269	7570
453	6283	7557
454	6297	7543
455	6312	7530
456	6326	7516
457	6340	7503
458	6356	7492
459	6371	7479
460	6386	7467
461	6401	7454
462	6415	7441
463	6430	7428
464	6446	7416
465	6461	7404
466	6475	7390
467	6491	7378
468	6506	7366
469	6521	7354
470	6534	7339
471	6548	7325
472	6563	7312
473	6576	7298
474	6589	7283
475	6602	7268
476	6616	7254
477	6630	7240
478	6643	7226
479	6656	7211
480	6669	7196
481	6683	7182
482	6697	7169
483	6711	7155
484	6724	7140
485	6738	7126
486	6752	7113
487	6767	7099
488	6781	7086
489	6794	7072
490	6808	7058
491	6822	7044
492	6835	7029
493	6849	7015
494	6861	7000
495	6875	6986
496	6889	6973
497	6903	6958
498	6917	6945
499	6930	6930
500	6944	6916
501	6958	6902
502	6970	6887
503	6984	6873
504	6998	6859
505	7012	6846
506	7026	6832
507	7044	6822
508	7059	6809
509	7074	6797
510	7093	6787
511	7109	6775
512	7122	6761
513	7135	6746
514	7148	6731
515	7161	6717
516	7174	6702
517	7187	6687
518	7201	6674
519	7215	6660
520	7229	6646
521	7242	6632
522	7256	6618
523	7270	6604
524	7283	6589
525	7297	6576
526	7311	6562
527	7324	6547
528	7337	6533
529	7351	6519
530	7365	6505
531	7379	6491
532	7392	6476
533	7406	6463
534	7421	6450
535	7435	6436
536	7448	6422
537	7462	6408
538	7478	6395
539	7492	6382
540	7506	6368
541	7520	6354
542	7535	6341
543	7551	6330
544	7566	6316
545	7580	6303
546	7595	6289
547	7610	6276
548	7623	6262
549	7637	6248
550	7650	6234
551	7662	6219
552	7676	6205
553	7690	6190
554	7704	6177
555	7718	6163
556	7732	6149
557	7744	6134
558	7756	6119
559	7770	6105
560	7783	6090
561	7797	6076
562	7810	6062
563	7823	6047
564	7836	6033
565	7849	6019
566	7864	6005
567	7878	5991
568	7891	5977
569	7904	5963
570	7918	5948
571	7932	5935
572	7945	5921
573	7959	5906
574	7971	5892
575	7985	5877
576	7997	5863
577	8010	5848
578	8024	5834
579	8037	5820
580	8050	5805
581	8064	5791
582	8076	5776
583	8089	5762
584	8102	5747
585	8116	5733
586	8129	5719
587	8142	5705
588	8155	5690
589	8168	5676
590	8182	5662
591	8195	5648
592	8208	5633
593	8220	5619
594	8234	5604
595	8246	5590
596	8260	5575
597	8274	5562
598	8290	5549
599	8303	5535
600	8317	5521
601	8331	5508
602	8344	5493
603	8358	5480
604	8372	5466
605	8385	5452
606	8399	5438
607	8413	5424
608	8428	5411
609	8442	5397
610	8455	5383
611	8469	5369
612	8483	5355
613	8497	5342
614	8511	5328
615	8528	5316
616	8545	5304
617	8559	5291
618	8573	5277
619	8587	5263
620	8601	5249
621	8614	5235
622	8629	5222
623	8642	5207
624	8656	5193
625	8669	5179
626	8682	5165
627	8696	5151
628	8709	5137
629	8723	5123
630	8736	5108
631	8749	5094
632	8762	5080
633	8775	5066
634	8789	5052
635	8804	5038
636	8817	5024
637	8832	5011
638	8847	4998
639	8862	4985
640	8876	4971
641	8891	4958
642	8907	4945
643	8923	4932
644	8938	4919
645	8952	4906
646	8967	4892
647	8982	4879
648	8997	4865
649	9011	4852
650	9025	4838
651	9037	4823
652	9052	4810
653	9066	4796
654	9080	4783
655	9094	4769
656	9108	4755
657	9122	4741
658	9135	4727
659	9150	4713
660	9163	4699
661	9175	4684
662	9189	4670
663	9202	4656
664	9215	4642
665	9228	4628
666	9241	4614
667	9255	4600
668	9268	4585
669	9281	4571
670	9296	4558
671	9311	4544
672	9325	4530
673	9338	4516
674	9351	4502
675	9364	4488
676	9378	4474
677	9392	4460
678	9405	4446
679	9419	4432
680	9431	4418
681	9445	4404
682	9459	4390
683	9472	4376
684	9485	4362
685	9499	4347
686	9513	4334
687	9528	4321
688	9542	4307
689	9555	4292
690	9568	4278
691	9580	4264
692	9594	4250
693	9607	4236
694	9620	4222
695	9634	4208
696	9648	4194
697	9660	4179
698	9674	4165
699	9687	4151
700	9699	4137
701	9713	4123
702	9726	4109
703	9737	4094
704	9751	4080
705	9764	4066
706	9776	4051
707	9790	4037
708	9803	4023
709	9816	4009
710	9828	3995
711	9843	3981
712	9855	3967
713	9868	3953
714	9882	3939
715	9895	3924
716	9908	3910
717	9921	3896
718	9935	3882
719	9948	3868
720	9960	3854
721	9974	3840
722	9987	3826
723	10000	3812
724	10013	3798
725	10026	3784
726	10040	3770
727	10053	3756
728	10066	3742
729	10080	3728
730	10092	3713
731	10105	3699
732	10118	3685
733	10132	3671
734	10145	3657
735	10157	3643
736	10171	3629
737	10186	3616
738	10200	3602
739	10226	3593
740	10255	3584
741	10290	3578
742	10320	3569
743	10337	3557
744	10355	3544
745	10371	3531
746	10384	3517
747	10398	3503
748	10410	3488
749	10424	3474
750	10438	3461
751	10453	3447
752	10468	3433
753	10482	3420
754	10496	3406
755	10510	3392
756	10526	3379
757	10540	3365
758	10554	3351
759	10568	3337
760	10581	3323
761	10596	3309
762	10609	3295
763	10624	3281
764	10638	3267
765	10652	3254
766	10666	3240
767	10679	3226
768	10692	3212
769	10706	3198
770	10722	3184
771	10737	3171
772	10751	3157
773	10765	3143
774	10779	3129
775	10792	3115
776	10806	3101
777	10820	3087
778	10834	3073
779	10849	3060
780	10863	3046
781	10878	3032
782	10894	3019
783	10909	3005
784	10922	2991
785	10935	2977
786	10948	2963
787	10962	2949
788	10976	2935
789	10988	2920
790	11000	2906
791	11013	2892
792	11027	2878
793	11040	2864
794	11053	2850
795	11067	2836
796	11081	2822
797	11094	2808
798	11107	2794
799	11120	2780
800	11133	2766
801	11146	2751
802	11159	2737
803	11172	2723
804	11185	2709
805	11197	2695
806	11211	2681
807	11224	2667
808	11237	2653
809	11250	2638
810	11263	2624
811	11276	2610
812	11289	2596
813	11302	2582
814	11314	2568
815	11328	2554
816	11341	2540
817	11354	2526
818	11366	2512
819	11378	2497
820	11391	2483
821	11404	2469
822	11418	2455
823	11430	2441
824	11444	2427
825	11457	2413
826	11471	2399
827	11485	2385
828	11500	2372
829	11512	2358
830	11527	2344
831	11540	2330
832	11553	2316
833	11566	2302
834	11579	2288
835	11592	2274
836	11604	2259
837	11617	2245
838	11630	2231
839	11642	2217
840	11656	2203
841	11669	2189
842	11683	2175
843	11695	2161
844	11708	2147
845	11721	2133
846	11734	2119
847	11748	2105
848	11761	2091
849	11774	2077
850	11787	2063
851	11801	2049
852	11815	2036
853	11827	2022
854	11839	2007
855	11853	1994
856	11867	1980
857	11880	1966
858	11893	1952
859	11907	1938
860	11920	1924
861	11933	1910
862	11947	1896
863	11960	1882
864	11972	1868
865	11986	1854
866	11998	1840
867	12012	1826
868	12025	1812
869	12038	1798
870	12052	1784
