iter	Logloss
0	0.6389565713
1	0.5911897183
2	0.557366301
3	0.5234143296
4	0.4977991498
5	0.4711653803
6	0.4482770287
7	0.4279278378
8	0.4112453822
9	0.3952247657
10	0.3802218821
11	0.366267387
12	0.355189837
13	0.3435871102
14	0.3334763349
15	0.3239659957
16	0.3147669834
17	0.306240747
18	0.2981949021
19	0.2904731183
20	0.2840024846
21	0.2778029499
22	0.2719815135
23	0.26597032
24	0.2607685528
25	0.2557707064
26	0.2506856309
27	0.2460550756
28	0.2415731641
29	0.2374671993
30	0.2329705271
31	0.2289058915
32	0.2250572811
33	0.2214862995
34	0.2180375217
35	0.2144530366
36	0.2113213062
37	0.207799159
38	0.2044098592
39	0.2015268762
40	0.1985526881
41	0.196080776
42	0.1933395297
43	0.1909071168
44	0.1885017326
45	0.1860631903
46	0.1834167538
47	0.1808863866
48	0.1785032532
49	0.1764940542
50	0.1745193083
51	0.1721869678
52	0.1701534352
53	0.1683169969
54	0.1666161265
55	0.1646517498
56	0.162928674
57	0.1610780487
58	0.1595031481
59	0.1576269008
60	0.1558799769
61	0.1543198337
62	0.1526589874
63	0.1512413285
64	0.1495742042
65	0.1480484303
66	0.1465581787
67	0.1449590504
68	0.1436473833
69	0.1422705648
70	0.1408649266
71	0.1396743454
72	0.138308948
73	0.1371958169
74	0.1360729143
75	0.1348973236
76	0.1337455278
77	0.1324830104
78	0.1313405904
79	0.1302879989
80	0.1292977743
81	0.1283078242
82	0.1272571632
83	0.1262460874
84	0.125337442
85	0.1243543113
86	0.1234031763
87	0.122533613
88	0.1214787312
89	0.1205944009
90	0.1196625994
91	0.1188205415
92	0.1179842351
93	0.1171922898
94	0.1163738432
95	0.1154369306
96	0.114656888
97	0.1138777769
98	0.113067556
99	0.1123707831
100	0.1115155281
101	0.1107910623
102	0.1099687076
103	0.1093136757
104	0.1085945918
105	0.1078494344
106	0.1071115722
107	0.1063520007
108	0.1057092466
109	0.1051112664
110	0.1045152852
111	0.1037949094
112	0.1032061191
113	0.1025599835
114	0.1018890262
115	0.1013040263
116	0.1007896807
117	0.1002326419
118	0.09958267569
119	0.09898645896
120	0.09849734938
121	0.09795100108
122	0.09742529704
123	0.09681048282
124	0.09630121402
125	0.09580300002
126	0.09528737738
127	0.09477757337
128	0.09426978253
129	0.09378414246
130	0.09324272022
131	0.09278344919
132	0.09226842475
133	0.09183464298
134	0.09133754833
135	0.09083297399
136	0.09041805784
137	0.08996587385
138	0.08955997646
139	0.08911033624
140	0.08872609514
141	0.08831204343
142	0.08786466646
143	0.08741471758
144	0.08693733744
145	0.08650883889
146	0.08613092035
147	0.08568968011
148	0.08521093455
149	0.08482584771
150	0.08443520028
151	0.08405760688
152	0.08365876
153	0.08323433766
154	0.08281325381
155	0.08239802323
156	0.08201536971
157	0.08163088201
158	0.08122050925
159	0.08084514822
160	0.08049177189
161	0.08011886802
162	0.07976133495
163	0.07941404307
164	0.07902071299
165	0.07868721537
166	0.07831758332
167	0.0780047878
168	0.07767469638
169	0.07735424764
170	0.0770434718
171	0.07670548717
172	0.07636268178
173	0.07601264624
174	0.07569082169
175	0.07541353007
176	0.07509259514
177	0.07475317233
178	0.07443367705
179	0.07412391799
180	0.0737781552
181	0.07345298039
182	0.07314889875
183	0.07285132034
184	0.0725636371
185	0.07228361285
186	0.07196407736
187	0.07170511825
188	0.07143260245
189	0.07111586216
190	0.0708091386
191	0.07056612078
192	0.07025995311
193	0.0699661683
194	0.06970909197
195	0.06941417218
196	0.06914461641
197	0.06888218264
198	0.06861603612
199	0.06835217415
200	0.06811095491
201	0.06786545475
202	0.06757964168
203	0.06729006599
204	0.06703548902
205	0.0667993425
206	0.06652858991
207	0.06627723878
208	0.06603888781
209	0.06577315702
210	0.06550970449
211	0.06525967206
212	0.06500940762
213	0.06478254788
214	0.06456769505
215	0.0643355248
216	0.06406959748
217	0.06384080037
218	0.063597693
219	0.06337795768
220	0.06316161187
221	0.06294397371
222	0.06273631076
223	0.06248793099
224	0.06228884959
225	0.06206940418
226	0.06185435136
227	0.06163438791
228	0.06139140437
229	0.061173884
230	0.06096990048
231	0.06076631684
232	0.06053679832
233	0.06034493021
234	0.06013831185
235	0.05991260447
236	0.05971392914
237	0.05952095922
238	0.05932006191
239	0.05913079215
240	0.05893922388
241	0.05871779039
242	0.05853094229
243	0.05830993882
244	0.05813122252
245	0.05791768861
246	0.05773695467
247	0.05756364526
248	0.05736275157
249	0.05715035836
250	0.05694851451
251	0.05677547842
252	0.05658425754
253	0.05642119776
254	0.0562462361
255	0.05608858667
256	0.0559128336
257	0.05574738423
258	0.05556481596
259	0.05536298613
260	0.05519092671
261	0.05498731388
262	0.05479946907
263	0.05463580579
264	0.05446011324
265	0.05428503558
266	0.05413055882
267	0.05394504974
268	0.05377913823
269	0.05359709667
270	0.05345183209
271	0.05328667248
272	0.0530952716
273	0.05295321507
274	0.05279189204
275	0.05261872041
276	0.05246712032
277	0.05229144362
278	0.05214384714
279	0.05197738436
280	0.05182845505
281	0.05168753435
282	0.05151941602
283	0.05137174805
284	0.0512214382
285	0.05106758688
286	0.0508996728
287	0.05076145076
288	0.05061283567
289	0.05045828894
290	0.050320425
291	0.05019729408
292	0.05003352031
293	0.0498880054
294	0.04973469921
295	0.04957880191
296	0.04943625893
297	0.04927866772
298	0.04914421617
299	0.04898802665
300	0.04884905445
301	0.04870778425
302	0.0485707702
303	0.04844625544
304	0.04833031252
305	0.04821120538
306	0.04806089055
307	0.0479479661
308	0.04781686089
309	0.047668896
310	0.04752548404
311	0.0473870292
312	0.04726310085
313	0.04713545351
314	0.04701191263
315	0.0468696982
316	0.04674362672
317	0.04661319847
318	0.04649894057
319	0.04637434597
320	0.04625307776
321	0.04611554397
322	0.04597544248
323	0.04584664101
324	0.04571138605
325	0.04556799187
326	0.0454644822
327	0.04534861092
328	0.04522456156
329	0.04511283946
330	0.04498028333
331	0.04486350798
332	0.04475123556
333	0.04462496946
334	0.04450444869
335	0.04437629308
336	0.04426104946
337	0.04415281018
338	0.04401952165
339	0.04388921219
340	0.04377647417
341	0.04366446578
342	0.04353847303
343	0.04343614312
344	0.04332283248
345	0.04320823886
346	0.04309909418
347	0.0429871465
348	0.04286379383
349	0.04274173557
350	0.04262780999
351	0.04252314085
352	0.04239999038
353	0.0422791667
354	0.04216370998
355	0.04204658859
356	0.04193597218
357	0.04183118089
358	0.04172467731
359	0.04160744506
360	0.04150497654
361	0.0413944695
362	0.04129185095
363	0.04120048517
364	0.0410958912
365	0.04100244513
366	0.04090753356
367	0.04081273444
368	0.04070811852
369	0.04059912562
370	0.04050204083
371	0.04039541211
372	0.04031108513
373	0.04021420042
374	0.04010436557
375	0.03999318359
376	0.03987860215
377	0.03977541557
378	0.03967711638
